vehicle_no,journeys,vehicle_id,start_time,end_time,start_x,start_y,end_x,end_y,distance,average_speed,fee
V014,1,S,01-01-2024 07:04,06:11.3,10.17915919,76.37887564,10.15697909,76.35507845,3901.227688,106.9569157,-0.01673973682269055
V014,2,S,02-01-2024 07:04,04:05.7,10.15697909,76.35507845,10.15574325,76.35444581,170.3402293,106.9569157,-0.014113011488145168
V014,3,S,04-01-2024 07:04,07:51.2,10.15574325,76.35444581,10.19262484,76.38687134,5903.296915,91.90190585,0.008517817640130335
V014,4,S,05-01-2024 07:04,04:10.5,10.19262484,76.38687134,10.19120598,76.38864476,266.940741,91.90190585,-0.02389151809546052
V014,5,S,07-01-2024 07:04,07:21.2,10.19120598,76.38864476,10.17072884,76.42944662,5137.163421,91.90190585,-0.004906295921628283
