vehicle_no,journeys,vehicle_id,start_time,end_time,start_x,start_y,end_x,end_y,distance,average_speed,fee
V013,1,H,03-01-2024 22:31,24:19.5,10.19271073,76.38678818,10.15542431,76.35442487,5916.551566,6.657235988,35.48358925630052
V013,2,H,04-01-2024 22:32,18:12.2,10.15542431,76.35442487,10.15771056,76.35642841,5126.466151,6.657235988,30.8032183696006
V013,3,H,05-01-2024 22:32,05:38.9,10.15771056,76.35642841,10.17916669,76.37888401,3733.349516,6.657235988,22.666218974422648
V013,4,H,06-01-2024 22:32,07:13.4,10.17916669,76.37888401,10.15697102,76.35506848,3908.234309,6.657235988,23.543765319989518
V013,5,H,07-01-2024 22:32,33:36.0,10.15697102,76.35506848,10.15572941,76.35444208,177.5882429,6.657235988,1.1959066376116307
