vehicle_no,journeys,vehicle_id,start_time,end_time,start_x,start_y,end_x,end_y,distance,average_speed,fee
V005,1,M,02-01-2024 00:46,49:11.9,10.19252334,76.38720545,10.22666753,76.37496667,4061.995346,76.21943931,
V005,2,M,04-01-2024 00:47,47:45.7,10.22670132,76.3748365,10.23870516,76.37326669,1359.205045,106.9907883,
V005,3,M,06-01-2024 00:47,47:35.4,10.24715879,76.36994746,10.2386645,76.37339507,1050.606602,106.9907883,
V005,4,M,07-01-2024 00:47,54:44.5,10.2386645,76.37339507,10.16384182,76.44044427,12196.30723,94.51868018,
V005,5,M,08-01-2024 00:47,51:43.1,10.16384182,76.44044427,10.19253207,76.38721815,6797.052949,86.43346569,
