vehicle_no,journeys,vehicle_id,start_time,end_time,start_x,start_y,end_x,end_y,distance,average_speed,fee
V008,1,M,01-01-2024 01:03,05:17.0,10.15769888,76.35640821,10.1791502,76.3788656,3719.638751,97.75144667,7.463621735685172
V008,2,M,01-01-2024 01:03,05:47.2,10.1791502,76.3788656,10.15698735,76.35508866,3899.441206,83.93725834,7.794520949298017
V008,3,M,01-01-2024 01:03,03:07.2,10.15698735,76.35508866,10.15575552,76.35444912,168.3352242,83.93725834,0.3608573241899793
V008,4,M,01-01-2024 01:04,08:13.1,10.15575552,76.35444912,10.19261228,76.38687171,5900.982148,83.93725834,11.804309372708271
V008,5,M,01-01-2024 01:04,04:11.3,10.19261228,76.38687171,10.19119773,76.38865415,264.5519099,83.93725834,0.5317959069240767
