vehicle_no,journeys,vehicle_id,start_time,end_time,start_x,start_y,end_x,end_y,distance,average_speed,fee
V001,1,M,01-01-2024 00:55,58:13.0,10.15769301,76.35639806,10.17914268,76.37885722,3719.806971,69.37943444,7.463621735685172
V001,2,M,02-01-2024 00:55,55:08.9,10.15699429,76.35509724,10.1557659,76.35445192,170.9074666,69.37943444,0.3608573241899793
V001,3,M,03-01-2024 00:55,58:28.7,10.1557659,76.35445192,10.19260127,76.38687203,5889.513095,101.5732534,11.768753746134468
V001,4,M,04-01-2024 00:55,55:09.9,10.19260127,76.38687203,10.19119024,76.38866268,280.54799,101.5732534,0.608404052624788
V001,5,M,05-01-2024 00:55,55:36.6,10.17071815,76.42946814,10.16673628,76.43778764,1032.502197,101.5732534,2.012557849162362
