vehicle_no,journeys,vehicle_id,start_time,end_time,start_x,start_y,end_x,end_y,distance,average_speed,fee
V002,1,T,01-01-2024 19:24,24:04.8,10.19251422,76.38725085,10.19269956,76.38678932,58.57043014,43.60322276,0.050986686636905657
V002,2,T,02-01-2024 19:25,33:08.7,10.19269956,76.38678932,10.15541366,76.35442511,5919.656346,43.60322276,2.942533641272384
V002,3,T,03-01-2024 19:25,25:13.5,10.15696538,76.35506151,10.15572136,76.35443991,163.3214148,43.60322276,0.10818290045245803
V002,4,T,04-01-2024 19:25,35:37.5,10.16675581,76.43774159,10.18332298,76.37976551,7739.828771,43.70672876,3.828136462994258
V002,5,T,05-01-2024 19:25,26:24.2,10.17074,76.42942417,10.16675581,76.43774159,1022.09956,43.70672876,0.4824671422307445
