vehicle_no,journeys,vehicle_id,start_time,end_time,start_x,start_y,end_x,end_y,distance,average_speed,fee
V007,1,M,01-01-2024 00:53,57:11.3,10.16948426,76.37202775,10.17447078,76.42424695,7841.638589,112.3406773,15.661871748174795
V007,2,M,01-01-2024 00:54,56:40.7,10.20562293,76.3823222,10.17942945,76.37896674,3403.262288,76.21943931,6.5015601924787765
V007,3,M,01-01-2024 00:54,54:15.9,10.17942945,76.37896674,10.17699899,76.37739003,336.9886958,76.21943931,0.6342411117542198
V007,4,M,01-01-2024 00:54,54:41.9,10.17699899,76.37739003,10.18417875,76.38011647,887.1772279,76.21943931,1.6969323657739506
V007,5,M,01-01-2024 00:54,54:59.0,10.18417875,76.38011647,10.19232559,76.38686383,1248.554136,76.21943931,2.536915524100837
